"129.0.0.0","129.0.255.255","2164260864","2164326399","CM","Cameroon"
"129.143.0.0","129.143.255.255","2173632512","2173698047","DE","Germany"
"129.144.0.0","129.168.255.255","2173698048","2175336447","US","United States"
"129.169.0.0","129.169.255.255","2175336448","2175401983","GB","United Kingdom"
"129.170.0.0","129.172.255.255","2175401984","2175598591","US","United States"
"129.173.0.0","129.173.255.255","2175598592","2175664127","CA","Canada"
"129.174.0.0","129.174.255.255","2175664128","2175729663","US","United States"
"129.175.0.0","129.175.255.255","2175729664","2175795199","FR","France"
"129.176.0.0","129.176.255.255","2175795200","2175860735","US","United States"
"129.177.0.0","129.177.255.255","2175860736","2175926271","NO","Norway"
"129.178.0.0","129.178.255.255","2175926272","2175991807","SE","Sweden"
"129.179.0.0","129.179.255.255","2175991808","2176057343","US","United States"
"129.180.0.0","129.180.255.255","2176057344","2176122879","AU","Australia"
"129.181.0.0","129.185.255.255","2176122880","2176450559","FR","France"
"129.186.0.0","129.186.255.255","2176450560","2176516095","US","United States"
"129.187.0.0","129.187.255.255","2176516096","2176581631","DE","Germany"
"129.188.0.0","129.192.96.255","2176581632","2176868607","US","United States"
"129.192.97.0","129.192.97.255","2176868608","2176868863","IT","Italy"
"129.192.98.0","129.192.195.255","2176868864","2176893951","US","United States"
"129.192.196.0","129.192.196.255","2176893952","2176894207","AP","Asia/Pacific Region"
"129.192.197.0","129.192.198.11","2176894208","2176894475","US","United States"
"129.192.198.12","129.192.198.12","2176894476","2176894476","AP","Asia/Pacific Region"
"129.192.198.13","129.192.207.255","2176894477","2176897023","US","United States"
"129.192.208.0","129.192.209.255","2176897024","2176897535","AU","Australia"
"129.192.210.0","129.193.255.255","2176897536","2176974847","US","United States"
"129.194.0.0","129.195.255.255","2176974848","2177105919","CH","Switzerland"
"129.196.0.0","129.198.255.255","2177105920","2177302527","US","United States"
"129.199.0.0","129.199.255.255","2177302528","2177368063","FR","France"
"129.200.0.0","129.204.255.255","2177368064","2177695743","US","United States"
"129.205.0.0","129.205.31.255","2177695744","2177703935","UG","Uganda"
"129.205.32.0","129.205.95.255","2177703936","2177720319","ZA","South Africa"
"129.205.96.0","129.205.127.255","2177720320","2177728511","NG","Nigeria"
"129.205.128.0","129.205.191.255","2177728512","2177744895","ZA","South Africa"
"129.205.192.0","129.205.255.255","2177744896","2177761279","BW","Botswana"
"129.206.0.0","129.206.255.255","2177761280","2177826815","DE","Germany"
"129.207.0.0","129.207.255.255","2177826816","2177892351","US","United States"
"129.208.0.0","129.208.255.255","2177892352","2177957887","SA","Saudi Arabia"
"129.209.0.0","129.213.255.255","2177957888","2178285567","US","United States"
"129.214.0.0","129.214.255.255","2178285568","2178351103","DE","Germany"
"129.215.0.0","129.215.255.255","2178351104","2178416639","GB","United Kingdom"
"129.216.0.0","129.216.255.255","2178416640","2178482175","US","United States"
"129.217.0.0","129.217.255.255","2178482176","2178547711","DE","Germany"
"129.218.0.0","129.223.31.255","2178547712","2178883583","US","United States"
"129.223.32.0","129.223.63.255","2178883584","2178891775","AU","Australia"
"129.223.64.0","129.230.250.255","2178891776","2179398399","US","United States"
"129.230.251.0","129.230.251.255","2179398400","2179398655","GB","United Kingdom"
"129.230.252.0","129.231.255.255","2179398656","2179465215","US","United States"
"129.232.0.0","129.232.127.255","2179465216","2179497983","LS","Lesotho"
"129.232.128.0","129.232.255.255","2179497984","2179530751","ZA","South Africa"
"129.233.0.0","129.233.255.255","2179530752","2179596287","DE","Germany"
"129.234.0.0","129.234.255.255","2179596288","2179661823","GB","United Kingdom"
"129.235.0.0","129.239.255.255","2179661824","2179989503","US","United States"
"129.240.0.0","129.242.255.255","2179989504","2180186111","NO","Norway"
"129.243.0.0","129.246.255.255","2180186112","2180448255","US","United States"
"129.247.0.0","129.247.255.255","2180448256","2180513791","DE","Germany"
"129.248.0.0","129.248.255.255","2180513792","2180579327","US","United States"
"129.249.0.0","129.249.255.255","2180579328","2180644863","JP","Japan"
"129.250.0.0","129.250.2.41","2180644864","2180645417","US","United States"
"129.250.2.42","129.250.2.42","2180645418","2180645418","ES","Spain"
"129.250.2.43","129.250.3.137","2180645419","2180645769","US","United States"
"129.250.3.138","129.250.3.138","2180645770","2180645770","DE","Germany"
"129.250.3.139","129.250.4.103","2180645771","2180645991","US","United States"
"129.250.4.104","129.250.4.104","2180645992","2180645992","ES","Spain"
"129.250.4.105","129.250.4.136","2180645993","2180646024","US","United States"
"129.250.4.137","129.250.4.137","2180646025","2180646025","GB","United Kingdom"
"129.250.4.138","129.250.6.216","2180646026","2180646616","US","United States"
"129.250.6.217","129.250.6.217","2180646617","2180646617","DE","Germany"
"129.250.6.218","129.250.8.40","2180646618","2180646952","US","United States"
"129.250.8.41","129.250.8.41","2180646953","2180646953","ES","Spain"
"129.250.8.42","129.250.16.45","2180646954","2180649005","US","United States"
"129.250.16.46","129.250.16.46","2180649006","2180649006","ES","Spain"
"129.250.16.47","129.253.255.255","2180649007","2180907007","US","United States"
"129.254.0.0","129.254.255.255","2180907008","2180972543","KR","Korea, Republic of"
"129.255.0.0","129.255.255.255","2180972544","2181038079","US","United States"
